Algorithm,Lambda,CloudletId,Length,VmId,SubmissionTime,StartTime,FinishTime,ExecutionTime,WaitingTime
Min-Min,20.0000,289,4466,13,14.7429,14.8429,82.3310,67.4881,0.1000
Min-Min,20.0000,43,8285,19,2.2275,2.3275,82.4410,80.1135,0.1000
Min-Min,20.0000,902,1843,14,46.0903,46.1903,82.7710,36.5807,0.1000
Min-Min,20.0000,537,2713,15,27.2883,27.3883,82.8810,55.4927,0.1000
Min-Min,20.0000,614,2159,11,31.2569,31.3569,82.9910,51.6341,0.1000
Min-Min,20.0000,332,3636,16,17.0438,17.1438,83.2110,66.0672,0.1000
Min-Min,20.0000,120,6092,10,6.0346,6.1346,83.3210,77.1864,0.1000
Min-Min,20.0000,91,6362,2,4.4892,4.5892,83.4310,78.8418,0.1000
Min-Min,20.0000,27,8941,4,1.2925,1.3925,83.5410,82.1485,0.1000
Min-Min,20.0000,476,3032,15,24.0387,24.1387,83.7610,59.6223,0.1000
Min-Min,20.0000,257,4353,2,12.9055,13.0055,83.8710,70.8655,0.1000
Min-Min,20.0000,584,2505,1,29.5139,29.6139,84.7320,55.1181,0.1000
Min-Min,20.0000,175,6155,3,8.7013,8.8013,84.7320,75.9307,0.1000
Min-Min,20.0000,227,5192,13,11.3345,11.4345,84.7320,73.2975,0.1000
Min-Min,20.0000,521,2902,19,26.3284,26.4284,84.7320,58.3036,0.1000
Min-Min,20.0000,384,3502,4,19.2324,19.3324,85.4190,66.0866,0.1000
Min-Min,20.0000,344,4032,7,17.7220,17.8220,85.4190,67.5970,0.1000
Min-Min,20.0000,503,2872,1,25.3376,25.4376,85.8370,60.3994,0.1000
Min-Min,20.0000,649,2670,5,32.7538,32.8538,85.9470,53.0932,0.1000
Min-Min,20.0000,333,4070,17,17.1054,17.2054,85.9470,68.7416,0.1000
Min-Min,20.0000,787,2171,0,40.1128,40.2128,86.3620,46.1492,0.1000
Min-Min,20.0000,986,1643,17,49.9941,50.0941,86.3620,36.2679,0.1000
Min-Min,20.0000,645,2506,2,32.6974,32.7974,86.4720,53.6746,0.1000
Min-Min,20.0000,697,2642,12,35.2804,35.3804,86.4720,51.0916,0.1000
Min-Min,20.0000,576,3002,13,29.1069,29.2069,86.4720,57.2651,0.1000
Min-Min,20.0000,169,5591,17,8.3976,8.4976,86.4720,77.9744,0.1000
Min-Min,20.0000,138,6377,7,6.9574,7.0574,86.8020,79.7446,0.1000
Min-Min,20.0000,482,3022,1,24.2616,24.3616,86.9120,62.5504,0.1000
Min-Min,20.0000,746,2301,19,37.6774,37.7774,87.1320,49.3546,0.1000
Min-Min,20.0000,877,1917,9,44.8459,44.9459,87.3520,42.4061,0.1000
Min-Min,20.0000,322,4211,6,16.6456,16.7456,87.5720,70.8264,0.1000
Min-Min,20.0000,574,2528,11,29.0996,29.1996,88.1470,58.9474,0.1000
Min-Min,20.0000,611,2785,8,31.1296,31.2296,88.6970,57.4674,0.1000
Min-Min,20.0000,578,2874,15,29.1954,29.2954,88.8070,59.5116,0.1000
Min-Min,20.0000,307,3700,11,15.8545,15.9545,89.0270,73.0725,0.1000
Min-Min,20.0000,698,2722,13,35.2854,35.3854,89.0270,53.6416,0.1000
Min-Min,20.0000,989,1751,9,50.1529,50.2529,89.0270,38.7741,0.1000
Min-Min,20.0000,430,3651,9,21.8227,21.9227,89.2470,67.3243,0.1000
Min-Min,20.0000,615,3100,12,31.2625,31.3625,89.4670,58.1045,0.1000
Min-Min,20.0000,456,3426,15,23.0819,23.1819,89.4670,66.2851,0.1000
Min-Min,20.0000,256,4533,1,12.8229,12.9229,89.7970,76.8741,0.1000
Min-Min,20.0000,768,2231,1,38.9175,39.0175,89.9070,50.8895,0.1000
Min-Min,20.0000,340,4705,3,17.3812,17.4812,90.1270,72.6458,0.1000
Min-Min,20.0000,291,4420,15,14.7545,14.8545,90.1270,75.2725,0.1000
Min-Min,20.0000,870,2076,2,44.3961,44.4961,90.3470,45.8509,0.1000
Min-Min,20.0000,982,2112,12,49.9486,50.0486,90.4570,40.4084,0.1000
