Algorithm,Lambda,CloudletId,Length,VmId,SubmissionTime,StartTime,FinishTime,ExecutionTime,WaitingTime
FCFS,20.0000,13,8971,13,0.7237,0.8237,73.1505,72.3268,0.1000
FCFS,20.0000,38,7502,18,1.9781,2.0781,73.1505,71.0724,0.1000
FCFS,20.0000,836,1375,16,42.6497,42.7497,73.5905,30.8408,0.1000
FCFS,20.0000,825,1452,5,42.2923,42.3923,73.7005,31.3082,0.1000
FCFS,20.0000,180,4315,0,8.9799,9.0799,73.9205,64.8406,0.1000
FCFS,20.0000,507,2581,7,25.5071,25.6071,73.9205,48.3134,0.1000
FCFS,20.0000,41,7144,1,2.1296,2.2296,74.2505,72.0209,0.1000
FCFS,20.0000,143,5009,3,7.3633,7.4633,74.3605,66.8972,0.1000
FCFS,20.0000,469,2718,9,23.8076,23.9076,74.4705,50.5629,0.1000
FCFS,20.0000,706,1894,6,35.6844,35.7844,74.8005,39.0161,0.1000
FCFS,20.0000,543,2276,3,27.6273,27.7273,74.9105,47.1832,0.1000
FCFS,20.0000,325,3595,5,16.7893,16.8893,75.1305,58.2412,0.1000
FCFS,20.0000,944,1236,4,47.7945,47.8945,75.2405,27.3460,0.1000
FCFS,20.0000,316,3419,16,16.4095,16.5095,75.2405,58.7310,0.1000
FCFS,20.0000,614,2159,14,31.2569,31.3569,75.3505,43.9936,0.1000
FCFS,20.0000,253,4029,13,12.6782,12.7782,75.6805,62.9023,0.1000
FCFS,20.0000,147,5141,7,7.6669,7.7669,75.7905,68.0236,0.1000
FCFS,20.0000,860,1229,0,43.9089,44.0089,75.9005,31.8916,0.1000
FCFS,20.0000,525,2567,5,26.5533,26.6533,76.1205,49.4672,0.1000
FCFS,20.0000,564,2417,4,28.6920,28.7920,76.4900,47.6980,0.1000
FCFS,20.0000,307,3700,7,15.8545,15.9545,76.7100,60.7555,0.1000
FCFS,20.0000,377,3545,17,18.9680,19.0680,77.0400,57.9720,0.1000
FCFS,20.0000,258,3733,18,12.9827,13.0827,77.1500,64.0673,0.1000
FCFS,20.0000,261,3803,1,13.0647,13.1647,77.2600,64.0953,0.1000
FCFS,20.0000,483,2657,3,24.3432,24.4432,77.4800,53.0368,0.1000
FCFS,20.0000,608,2337,8,30.9223,31.0223,77.5900,46.5677,0.1000
FCFS,20.0000,211,4720,11,10.7995,10.8995,77.8100,66.9105,0.1000
FCFS,20.0000,588,2446,8,29.7485,29.8485,77.9200,48.0715,0.1000
FCFS,20.0000,50,8018,10,2.4567,2.5567,78.0300,75.4733,0.1000
FCFS,20.0000,537,2713,17,27.2883,27.3883,78.0300,50.6417,0.1000
FCFS,20.0000,595,2329,15,30.2415,30.3415,78.1400,47.7985,0.1000
FCFS,20.0000,556,2434,16,28.4135,28.5135,78.2500,49.7365,0.1000
FCFS,20.0000,854,1574,14,43.6974,43.7974,78.4700,34.6726,0.1000
FCFS,20.0000,555,2491,15,28.2780,28.3780,78.4700,50.0920,0.1000
FCFS,20.0000,792,1870,12,40.4259,40.5259,78.6900,38.1641,0.1000
FCFS,20.0000,848,1638,8,43.3639,43.4639,78.9100,35.4461,0.1000
FCFS,20.0000,329,3701,9,16.8965,16.9965,79.1300,62.1335,0.1000
FCFS,20.0000,80,6196,0,3.9273,4.0273,79.2400,75.2127,0.1000
FCFS,20.0000,435,3105,15,22.0870,22.1870,79.3500,57.1630,0.1000
FCFS,20.0000,412,3510,12,20.7567,20.8567,79.4600,58.6033,0.1000
FCFS,20.0000,934,1445,14,47.3977,47.4977,79.4600,31.9623,0.1000
FCFS,20.0000,56,7255,16,2.7542,2.8542,79.4600,76.6058,0.1000
FCFS,20.0000,268,4239,8,13.7728,13.8728,79.4600,65.5872,0.1000
